product_id,product_key,sku,product_name,category,subcategory,brand,unit_of_measure,unit_cost_usd,unit_price_usd,gross_margin_pct,reorder_level,stock_quantity,product_status,launch_date,weight_kg,is_taxable,created_at,updated_at
24,PROD-00024,SKU-1FF1DE77,ClearPath Security Feel 401,Software,Security,SwiftLine,Each,1014.95,1512.28,49.0,32,489,Active,2016-01-12,26.3,1,2019-08-30T06:43:31.248273,2024-03-11T10:05:24.049871
25,PROD-00025,SKU-8E296A06,SwiftLine Networking Notice 894,Cloud Services,Networking,OmniTech,GB,1128.52,1816.92,61.0,37,441,Active,2021-03-14,14.51,1,2015-08-12T09:00:46.661206,2024-03-11T11:05:57.282100
26,PROD-00026,SKU-4E732CED,CoreEdge Headphones American 919,Electronics,Headphones,SwiftLine,GB,1269.16,2221.03,75.0,22,264,Pending,2018-03-14,0.39,1,2022-10-28T04:23:47.306752,2024-02-19T03:07:17.006412
27,PROD-00027,SKU-02E74F10,SwiftLine Analytics This 177,Software,Analytics,ClearPath,License,190.55,295.35,55.0,30,160,Active,2018-04-01,6.64,1,2015-11-17T23:48:11.560518,2024-08-19T20:07:00.489414
28,PROD-00028,SKU-33E75FF0,CoreEdge ERP Arrive 993,Software,ERP,BluePeak,License,1000.5,1270.63,27.0,14,103,Active,2020-02-01,25.11,1,2022-10-06T23:27:57.608572,2024-05-21T02:36:50.832102
29,PROD-00029,SKU-6EA9AB1B,OmniTech CRM Bag 728,Software,CRM,TechPro,Hour,244.16,292.99,20.0,2,434,Discontinued,2021-09-03,11.2,1,2022-09-27T04:50:19.183784,2024-01-26T20:08:33.739977
30,PROD-00030,SKU-34173CB3,ClearPath AI/ML Question 386,Cloud Services,AI/ML,NexGen,License,1738.19,2502.99,44.0,48,295,Active,2016-12-30,1.72,0,2018-08-11T06:35:43.368360,2024-08-13T15:21:41.239876
31,PROD-00031,SKU-C16A5320,ApexWorks AI/ML Course 568,Cloud Services,AI/ML,NovaSys,Hour,69.96,95.15,36.0,29,161,Active,2022-06-29,0.45,1,2020-08-03T12:02:10.982270,2024-03-05T04:57:46.744141
32,PROD-00032,SKU-6364D3F0,BluePeak AI/ML Protect 291,Cloud Services,AI/ML,ClearPath,Subscription/Mo,205.99,282.21,37.0,15,137,Discontinued,2024-07-26,28.76,1,2017-04-11T18:18:57.953803,2024-05-19T21:31:03.299020
33,PROD-00033,SKU-182BE0C5,SwiftLine Pens I 473,Office Supplies,Pens,NexGen,Subscription/Mo,1000.05,1280.06,28.0,28,92,Pending,2019-04-30,4.02,1,2021-04-02T09:01:15.153415,2024-12-31T15:01:20.479772
34,PROD-00034,SKU-E369853D,NexGen Keyboards Plan 300,Electronics,Keyboards,ApexWorks,License,1609.15,2381.54,48.0,30,412,Active,2016-09-24,5.38,0,2016-07-31T08:13:21.483346,2024-05-06T23:49:13.981726
35,PROD-00035,SKU-1C383CD3,OmniTech Productivity Each 407,Software,Productivity,BluePeak,Hour,1070.3,1434.2,34.0,36,24,Discontinued,2020-05-16,3.06,1,2015-11-17T18:10:35.143894,2024-04-01T12:25:28.628676
36,PROD-00036,SKU-19CA14E7,NovaSys Monitors They 560,Electronics,Monitors,SwiftLine,Subscription/Mo,1628.57,2345.14,44.0,23,184,Pending,2015-08-27,16.77,1,2022-09-30T08:01:45.160704,2024-10-13T08:54:49.919136
37,PROD-00037,SKU-A5BFC9E0,PrimeSoft Paper Dark 303,Office Supplies,Paper,PrimeSoft,Hour,826.46,1123.99,36.0,41,332,Pending,2021-02-01,5.32,1,2015-02-25T20:35:54.954032,2024-08-15T07:50:34.042476
38,PROD-00038,SKU-A5771BCE,OmniTech Binders During 180,Office Supplies,Binders,NexGen,Hour,1348.02,1941.15,44.0,18,237,Active,2022-11-01,26.06,1,2017-11-16T18:21:32.656596,2024-04-12T15:24:30.912645
39,PROD-00039,SKU-D67D8AB4,NovaSys AI/ML Program 181,Cloud Services,AI/ML,ApexWorks,Subscription/Mo,1145.42,1901.4,66.0,14,160,Active,2023-08-02,19.63,1,2017-10-08T06:12:54.371703,2024-05-18T13:09:15.262382
40,PROD-00040,SKU-D645920E,SwiftLine Audit Report 865,Consulting,Audit,PrimeSoft,Hour,546.14,775.52,42.0,28,211,Active,2016-10-10,5.6,1,2022-01-04T22:53:42.933285,2024-04-08T21:04:32.953241
41,PROD-00041,SKU-3416A75F,NovaSys ERP Cut 315,Software,ERP,ApexWorks,GB,1325.73,2267.0,71.0,6,48,Active,2017-01-06,28.11,0,2017-10-28T09:12:15.898008,2024-07-08T08:46:27.103472
42,PROD-00042,SKU-A1D0C6E8,NovaSys Implementation Point 206,Consulting,Implementation,BluePeak,Hour,57.6,80.06,39.0,9,43,Discontinued,2017-04-20,9.35,1,2017-03-29T22:17:46.531303,2024-03-17T09:06:22.250181
43,PROD-00043,SKU-17E62166,ApexWorks Furniture Hospital 129,Office Supplies,Furniture,TechPro,Subscription/Mo,1254.83,1543.44,23.0,20,442,Discontinued,2016-01-10,14.07,1,2024-01-05T08:25:05.653865,2024-07-11T19:30:01.042545
44,PROD-00044,SKU-F7177163,ClearPath Audit Least 281,Consulting,Audit,PrimeSoft,Hour,274.55,472.23,72.0,29,323,Pending,2024-01-10,13.11,1,2017-05-24T21:18:29.803136,2024-01-14T15:29:21.907372
45,PROD-00045,SKU-6C8349CC,OmniTech Furniture Learn 415,Office Supplies,Furniture,SwiftLine,GB,1081.64,1763.07,63.0,16,79,Active,2022-10-05,0.42,1,2018-05-29T19:39:54.940725,2024-04-15T09:31:46.072343
46,PROD-00046,SKU-D9D4F495,OmniTech Binders Feel 873,Office Supplies,Binders,OmniTech,Subscription/Mo,941.05,1082.21,15.0,0,392,Discontinued,2017-06-28,23.96,1,2020-04-16T18:52:57.096948,2024-05-20T10:35:16.783104
47,PROD-00047,SKU-67C6A1E7,ClearPath Webcams Pressure 547,Electronics,Webcams,NexGen,License,750.42,1050.59,40.0,10,366,Discontinued,2024-06-12,24.87,1,2020-03-21T20:58:47.109196,2024-05-05T17:31:37.920556
48,PROD-00048,SKU-642E92EF,PrimeSoft Paper Listen 926,Office Supplies,Paper,BluePeak,Subscription/Mo,847.37,1093.11,29.0,41,380,Pending,2017-09-09,24.28,0,2018-03-15T08:22:15.442309,2024-10-31T19:52:33.655065
49,PROD-00049,SKU-F457C545,OmniTech CRM Participant 732,Software,CRM,OmniTech,Subscription/Mo,368.9,486.95,32.0,44,318,Discontinued,2023-08-14,5.71,1,2016-07-14T20:43:53.384356,2024-10-04T20:05:41.903997
50,PROD-00050,SKU-C0C7C76D,NovaSys CRM Operation 388,Software,CRM,BluePeak,License,1939.58,2249.91,16.0,45,224,Active,2021-05-02,7.06,1,2023-10-24T17:18:12.766806,2024-10-22T08:20:32.598288
51,PROD-00051,SKU-2838023A,OmniTech Headphones Hour 480,Electronics,Headphones,OmniTech,Each,438.29,613.61,40.0,21,41,Active,2021-02-01,1.78,0,2023-04-12T08:31:44.634356,2024-12-03T03:29:52.744433
52,PROD-00052,SKU-9A115815,BluePeak Webcams Threat 936,Electronics,Webcams,NexGen,Each,942.94,1197.53,27.0,7,498,Active,2021-04-25,11.61,0,2015-01-29T09:28:40.448306,2024-07-27T08:53:28.581324
53,PROD-00053,SKU-D82C8D16,NovaSys CRM Surface 633,Software,CRM,CoreEdge,GB,402.36,639.75,59.0,24,348,Active,2024-01-16,28.09,1,2023-03-24T09:28:21.434190,2024-06-03T10:24:13.763112
54,PROD-00054,SKU-A684ECEE,BluePeak Webcams General 303,Electronics,Webcams,SwiftLine,Each,1044.25,1357.53,30.0,42,111,Active,2017-02-04,7.16,0,2020-08-28T15:09:36.884952,2024-11-03T06:13:41.840934
55,PROD-00055,SKU-B53B3A3D,NovaSys Paper Many 505,Office Supplies,Paper,CoreEdge,Each,338.88,447.32,32.0,2,297,Discontinued,2019-01-18,20.68,1,2015-06-04T01:44:33.287156,2024-06-16T14:15:12.650330
56,PROD-00056,SKU-9F61408E,PrimeSoft Paper Suffer 446,Office Supplies,Paper,TechPro,Each,501.2,726.74,45.0,22,330,Active,2020-06-29,21.07,1,2016-11-23T15:30:21.267501,2024-01-14T18:35:27.535207
57,PROD-00057,SKU-72B32A1F,SwiftLine Security Person 924,Software,Security,OmniTech,License,469.19,816.39,74.0,1,352,Discontinued,2022-12-24,10.81,1,2018-03-16T00:38:31.062212,2024-02-19T21:54:40.743404
58,PROD-00058,SKU-66F041E1,BluePeak Paper Movie 655,Office Supplies,Paper,OmniTech,License,973.18,1372.18,41.0,36,95,Pending,2024-06-29,10.5,0,2016-12-30T23:37:50.364376,2024-04-10T13:35:40.298205
59,PROD-00059,SKU-093F65E0,NovaSys Printers Feel 643,Office Supplies,Printers,ApexWorks,GB,1829.38,2707.48,48.0,18,419,Active,2022-05-24,16.29,0,2020-09-30T13:55:45.689688,2024-05-27T02:51:42.876876
60,PROD-00060,SKU-072B030B,TechPro Webcams Huge 734,Electronics,Webcams,SwiftLine,Hour,761.19,959.1,26.0,15,164,Active,2020-02-29,19.78,0,2019-01-31T06:46:08.048546,2024-06-13T16:34:13.965447
61,PROD-00061,SKU-7F39F831,ApexWorks Productivity Nothing 727,Software,Productivity,BluePeak,Subscription/Mo,1368.03,2202.53,61.0,26,328,Active,2021-02-10,3.4,1,2017-06-06T23:57:33.614198,2024-01-07T00:04:02.622891
62,PROD-00062,SKU-44F683A8,NovaSys Monitors School 597,Electronics,Monitors,CoreEdge,Each,361.38,422.81,17.0,2,292,Discontinued,2016-01-24,19.77,1,2021-08-05T06:18:59.066800,2024-11-08T23:31:17.053093
63,PROD-00063,SKU-03AFDBD6,TechPro Keyboards Age 313,Electronics,Keyboards,OmniTech,Each,445.34,703.64,58.0,29,410,Active,2023-09-21,10.89,0,2023-02-28T00:29:13.425527,2024-06-07T13:29:40.900418
64,PROD-00064,SKU-EA5D2F1C,TechPro Paper Approach 851,Office Supplies,Paper,NovaSys,Subscription/Mo,1648.17,2159.1,31.0,4,483,Active,2015-11-07,28.82,1,2017-06-16T02:31:36.230618,2024-06-10T03:43:28.575122
65,PROD-00065,SKU-FC490CA4,ClearPath Monitors Beautiful 772,Electronics,Monitors,CoreEdge,Hour,1065.66,1342.73,26.0,40,485,Active,2015-10-23,16.8,0,2024-01-27T01:01:58.573098,2024-03-19T15:37:06.177406
66,PROD-00066,SKU-3295C76A,NexGen Webcams Need 206,Electronics,Webcams,ApexWorks,License,719.14,1028.37,43.0,35,205,Pending,2017-08-10,10.19,1,2023-12-16T20:34:09.550025,2024-09-18T23:48:00.398021
67,PROD-00067,SKU-735B90B4,SwiftLine Strategy Young 663,Consulting,Strategy,SwiftLine,Subscription/Mo,888.81,1208.78,36.0,26,391,Discontinued,2019-06-25,24.8,1,2018-03-03T23:42:56.299570,2024-06-24T20:08:10.468856
68,PROD-00068,SKU-A3F390D8,ClearPath Training Her 862,Consulting,Training,BluePeak,Subscription/Mo,1128.47,1444.44,28.0,28,229,Discontinued,2019-03-10,0.11,1,2021-11-08T05:35:36.600108,2024-01-01T00:27:09.128389
69,PROD-00069,SKU-14BFA6BB,BluePeak Printers Ground 106,Office Supplies,Printers,BluePeak,License,37.52,46.15,23.0,13,438,Active,2015-10-07,0.75,1,2021-11-08T11:50:29.083652,2024-06-03T14:09:50.146529
70,PROD-00070,SKU-7CBBC409,ApexWorks Strategy Again 196,Consulting,Strategy,TechPro,GB,1114.86,1906.41,71.0,22,79,Active,2021-11-11,8.02,1,2018-08-14T19:29:28.255674,2024-08-30T08:38:42.313471
71,PROD-00071,SKU-E2C420D9,NexGen Analytics Every 682,Software,Analytics,CoreEdge,Each,1623.09,1963.94,21.0,46,166,Discontinued,2020-08-17,5.27,1,2021-10-23T02:24:25.604592,2024-03-07T03:17:10.528831
72,PROD-00072,SKU-32BB90E8,NexGen Support Federal 180,Consulting,Support,TechPro,Subscription/Mo,79.56,130.48,64.0,22,450,Discontinued,2021-12-10,12.55,1,2024-02-17T15:35:17.927296,2024-05-14T15:57:42.633250
73,PROD-00073,SKU-D2DDEA18,NexGen Productivity Very 155,Software,Productivity,BluePeak,Hour,1857.66,2842.22,53.0,2,163,Pending,2021-05-25,16.99,1,2019-02-04T17:59:15.597481,2024-07-08T06:24:27.568254
74,PROD-00074,SKU-AD61AB14,NexGen Training After 556,Consulting,Training,PrimeSoft,Hour,310.63,481.48,55.0,32,46,Active,2023-10-30,13.01,0,2024-05-05T03:39:48.308895,2024-04-11T20:02:59.983087
75,PROD-00075,SKU-D09BF415,TechPro ERP Song 661,Software,ERP,NexGen,Subscription/Mo,675.66,972.95,44.0,5,204,Pending,2024-02-03,13.09,1,2021-01-29T14:34:08.803097,2024-10-13T01:02:45.375789
76,PROD-00076,SKU-FBD7939D,PrimeSoft Security Issue 300,Software,Security,ClearPath,Hour,1120.8,1613.95,44.0,47,268,Active,2023-07-27,7.35,1,2020-06-05T23:25:30.958690,2024-12-13T02:40:20.987563
77,PROD-00077,SKU-28DD2C79,NovaSys Database Memory 787,Cloud Services,Database,NexGen,GB,1371.05,2056.57,50.0,23,178,Active,2018-06-07,9.69,1,2015-06-06T16:26:04.277422,2024-10-28T21:15:14.795001
78,PROD-00078,SKU-35F4A8D4,OmniTech Pens So 738,Office Supplies,Pens,ApexWorks,GB,1975.37,3002.56,52.0,2,473,Active,2024-01-05,6.07,1,2023-06-27T08:49:52.837548,2024-10-18T02:50:08.385794
79,PROD-00079,SKU-D1FE173D,PrimeSoft CRM Learn 251,Software,CRM,BluePeak,Each,229.18,270.43,18.0,21,355,Active,2015-09-21,9.22,0,2022-10-30T07:37:51.418175,2024-07-15T13:31:46.962941
80,PROD-00080,SKU-F033AB37,CoreEdge Keyboards Computer 659,Electronics,Keyboards,ClearPath,Subscription/Mo,421.97,620.3,47.0,35,247,Pending,2023-12-30,21.92,1,2022-07-19T11:40:55.413504,2024-02-15T12:28:49.596118
81,PROD-00081,SKU-43EC517D,TechPro Headphones Along 361,Electronics,Headphones,ApexWorks,Each,1168.09,1810.54,55.0,18,102,Pending,2023-06-12,8.21,0,2018-02-10T09:03:51.307403,2024-12-24T19:17:09.022129
82,PROD-00082,SKU-9778D5D2,SwiftLine Laptops Rest 985,Electronics,Laptops,NovaSys,Each,780.35,1022.26,31.0,18,444,Discontinued,2023-08-05,7.01,0,2020-01-28T08:04:38.987907,2024-11-14T21:26:24.910202
83,PROD-00083,SKU-FE9FC289,PrimeSoft Implementation Military 644,Consulting,Implementation,NovaSys,License,1808.22,2603.84,44.0,12,256,Discontinued,2019-04-12,16.86,1,2016-08-15T23:39:17.122753,2024-05-17T18:13:40.689064
84,PROD-00084,SKU-68D30A95,OmniTech Monitors Then 502,Electronics,Monitors,ApexWorks,Each,1844.93,2453.76,33.0,22,350,Active,2018-01-03,10.73,1,2024-05-06T22:50:15.850100,2024-01-27T02:41:35.139065
85,PROD-00085,SKU-3EF81541,BluePeak Productivity Its 999,Software,Productivity,NexGen,Each,555.38,660.9,19.0,35,485,Active,2022-08-09,6.84,1,2017-05-07T13:51:00.851098,2024-08-24T17:42:39.910519
86,PROD-00086,SKU-93DB85ED,PrimeSoft Compute Page 993,Cloud Services,Compute,CoreEdge,GB,180.15,248.61,38.0,15,293,Active,2017-06-11,12.85,1,2022-01-18T14:59:30.099618,2024-11-10T13:25:16.263506
87,PROD-00087,SKU-C7E1249F,ApexWorks Support Trouble 694,Consulting,Support,ClearPath,License,901.09,1108.34,23.0,8,158,Pending,2015-07-09,27.3,0,2018-08-18T06:17:18.663492,2024-04-28T05:54:07.177578
88,PROD-00088,SKU-2A38A4A9,ClearPath Productivity Have 645,Software,Productivity,NovaSys,License,1834.64,2458.42,34.0,20,429,Active,2017-03-17,21.84,1,2021-10-12T09:22:57.822926,2024-01-31T22:57:06.735706
89,PROD-00089,SKU-7647966B,BluePeak Networking Speech 255,Cloud Services,Networking,CoreEdge,Each,610.18,976.29,60.0,8,94,Active,2015-10-18,22.9,1,2022-03-12T20:00:08.077057,2024-06-09T18:35:28.130100
90,PROD-00090,SKU-8613985E,CoreEdge Strategy Participant 803,Consulting,Strategy,TechPro,Subscription/Mo,1226.66,1852.26,51.0,5,352,Discontinued,2018-10-10,4.11,0,2018-02-20T18:44:44.656099,2024-12-19T20:42:18.702153
91,PROD-00091,SKU-54229ABF,ApexWorks Pens Popular 267,Office Supplies,Pens,CoreEdge,License,1705.0,2455.2,44.0,2,209,Active,2021-06-26,27.77,0,2015-01-06T06:35:34.298634,2024-04-17T14:01:14.071817
92,PROD-00092,SKU-92CC2275,OmniTech ERP Wife 987,Software,ERP,PrimeSoft,GB,1516.76,1804.94,19.0,44,166,Discontinued,2020-01-14,26.64,0,2018-06-22T13:20:28.992684,2024-11-27T19:08:45.724407
93,PROD-00093,SKU-98DCE83D,SwiftLine Storage Well 503,Cloud Services,Storage,PrimeSoft,Hour,1217.82,1997.22,64.0,38,274,Pending,2022-01-30,19.28,1,2019-04-30T19:01:50.178456,2024-07-10T20:24:16.894591
94,PROD-00094,SKU-F4B9EC30,TechPro Implementation Song 998,Consulting,Implementation,CoreEdge,Hour,905.96,1494.83,65.0,34,202,Active,2019-10-01,16.78,1,2023-05-24T23:36:53.074113,2024-05-21T17:57:58.983804
95,PROD-00095,SKU-812B4BA2,BluePeak Analytics Join 572,Software,Analytics,ApexWorks,GB,881.91,1481.61,68.0,18,313,Active,2016-06-19,20.73,1,2023-11-26T01:46:37.911921,2024-09-30T12:47:31.183004
96,PROD-00096,SKU-26657D5F,ApexWorks Networking Dinner 897,Cloud Services,Networking,PrimeSoft,Hour,185.43,268.87,45.0,8,201,Discontinued,2017-07-15,9.77,1,2021-05-27T12:42:47.559760,2024-03-18T07:55:33.828842
97,PROD-00097,SKU-E2EF524F,CoreEdge Security Physical 565,Software,Security,NovaSys,Subscription/Mo,1182.68,1868.63,58.0,20,354,Active,2017-07-31,21.58,1,2019-10-16T07:35:24.876102,2024-08-06T18:37:50.390049
98,PROD-00098,SKU-ED3D2C21,NovaSys Laptops Small 636,Electronics,Laptops,NexGen,Hour,1413.92,2163.3,53.0,39,486,Active,2022-05-21,11.42,0,2017-04-21T04:43:52.021244,2024-02-08T09:53:41.531267
99,PROD-00099,SKU-AC627AB1,ApexWorks Monitors Away 266,Electronics,Monitors,ApexWorks,License,1824.94,2719.16,49.0,49,364,Active,2021-09-28,12.65,1,2016-06-01T16:54:16.259025,2024-03-22T09:07:30.664999
100,PROD-00100,SKU-F899139D,ApexWorks Database Less 307,Cloud Services,Database,TechPro,Hour,1254.77,1530.82,22.0,48,129,Active,2021-10-17,13.81,0,2015-11-02T07:19:14.722720,2024-09-18T08:20:30.654734
101,PROD-00101,SKU-38B3EFF8,CoreEdge Implementation Situation 702,Consulting,Implementation,OmniTech,GB,1217.93,1766.0,45.0,26,226,Active,2024-01-08,18.08,1,2019-03-23T08:50:06.348138,2024-03-21T11:04:55.160653
102,PROD-00102,SKU-EC895663,CoreEdge Productivity Capital 150,Software,Productivity,ApexWorks,License,559.84,856.56,53.0,3,334,Active,2023-11-10,1.2,1,2017-11-02T16:44:12.524503,2024-11-13T02:20:35.243586
103,PROD-00103,SKU-6974CE5A,TechPro Strategy Main 211,Consulting,Strategy,NexGen,License,600.39,1020.66,70.0,10,344,Active,2019-08-13,18.37,1,2019-01-11T22:02:19.236786,2024-09-04T02:58:29.146070
104,PROD-00104,SKU-C9E1074F,BluePeak AI/ML Voice 430,Cloud Services,AI/ML,SwiftLine,GB,723.58,846.59,17.0,4,388,Discontinued,2016-05-11,25.31,1,2017-04-22T13:34:01.020084,2024-05-23T14:57:30.781214
105,PROD-00105,SKU-65B9EEA6,BluePeak Furniture Nothing 437,Office Supplies,Furniture,ClearPath,GB,273.42,429.27,57.0,33,107,Active,2018-02-17,18.4,1,2015-05-22T11:32:36.417180,2024-08-12T19:36:00.622808
106,PROD-00106,SKU-F0935E4C,PrimeSoft Strategy Where 907,Consulting,Strategy,BluePeak,GB,1974.44,2843.19,44.0,38,434,Active,2020-07-17,7.86,1,2023-05-07T14:04:22.930612,2024-06-27T17:58:24.109839
107,PROD-00107,SKU-A97DA629,OmniTech Productivity Mission 604,Software,Productivity,ApexWorks,Hour,1127.46,1646.09,46.0,14,362,Active,2017-08-25,29.38,1,2019-09-02T00:57:28.648989,2024-10-10T01:23:54.524955
108,PROD-00108,SKU-A3C65C29,CoreEdge Laptops House 918,Electronics,Laptops,PrimeSoft,GB,932.45,1519.89,63.0,26,23,Active,2021-02-17,10.55,1,2021-06-10T18:02:30.543696,2024-08-25T22:09:19.590960
109,PROD-00109,SKU-2723D092,NovaSys Monitors Yeah 415,Electronics,Monitors,BluePeak,Hour,1381.58,1796.05,30.0,35,165,Active,2017-11-07,3.5,1,2019-09-24T21:00:31.327471,2024-05-02T08:20:08.208109
110,PROD-00110,SKU-5F93F983,TechPro Furniture People 952,Office Supplies,Furniture,ApexWorks,License,1450.17,2204.26,52.0,21,426,Active,2018-07-17,27.68,0,2016-10-16T07:09:07.531058,2024-10-01T11:09:42.476394
111,PROD-00111,SKU-698D51A1,OmniTech Storage Store 985,Cloud Services,Storage,ClearPath,Subscription/Mo,1293.08,1862.04,44.0,29,401,Discontinued,2017-07-15,27.84,1,2022-10-11T00:28:39.695020,2024-01-11T01:31:41.128852
112,PROD-00112,SKU-7F6FFAA6,ClearPath Support Some 648,Consulting,Support,TechPro,License,1132.06,1766.01,56.0,36,350,Active,2022-11-03,24.01,1,2019-06-26T15:29:40.482174,2024-06-19T10:58:50.264076
113,PROD-00113,SKU-73278A4A,NexGen Monitors Onto 741,Electronics,Monitors,ClearPath,License,564.52,660.49,17.0,36,310,Discontinued,2019-10-02,5.7,1,2015-03-28T01:13:52.804964,2024-11-15T04:41:46.096679
114,PROD-00114,SKU-5FD0B37C,NovaSys Binders Agency 608,Office Supplies,Binders,CoreEdge,Subscription/Mo,1421.13,1861.68,31.0,28,424,Active,2024-07-31,6.56,1,2019-07-09T18:48:15.939025,2024-06-20T00:17:16.333348
